,release_date,count,emotion
0,1950,1.9607843137254901,love
1,1951,6.896551724137931,love
2,1952,8.333333333333332,love
3,1953,14.583333333333334,love
4,1954,12.844036697247708,love
5,1955,5.660377358490567,love
6,1956,7.5,love
7,1957,8.016877637130802,love
8,1958,10.452961672473867,love
9,1959,9.935897435897436,love
10,1960,6.934306569343065,love
11,1961,8.856088560885608,love
12,1962,5.501618122977346,love
13,1963,8.130081300813007,love
14,1964,6.527415143603134,love
15,1965,3.932584269662921,love
16,1966,4.664723032069971,love
17,1967,4.568527918781726,love
18,1968,4.123711340206185,love
19,1969,4.037267080745342,love
20,1970,3.6931818181818183,love
21,1971,1.3774104683195594,love
22,1972,3.151862464183381,love
23,1973,3.316326530612245,love
24,1974,4.696132596685083,love
25,1975,2.9484029484029484,love
26,1976,3.089887640449438,love
27,1977,7.009345794392523,love
28,1978,3.0501089324618738,love
29,1979,1.8633540372670807,love
30,1980,3.536345776031434,love
31,1981,1.7307692307692308,love
32,1982,1.8711018711018712,love
33,1983,3.2319391634980987,love
34,1984,4.631578947368421,love
35,1985,2.211302211302211,love
36,1986,5.172413793103448,love
37,1987,2.0689655172413794,love
38,1988,3.7914691943127963,love
39,1989,4.587155963302752,love
40,1990,1.9417475728155338,love
41,1991,5.36779324055666,love
42,1992,4.52755905511811,love
43,1993,2.6804123711340204,love
44,1994,2.795698924731183,love
45,1995,4.415584415584416,love
46,1996,4.611650485436893,love
47,1997,2.729528535980149,love
48,1998,2.912621359223301,love
49,1999,3.1779661016949152,love
50,2000,2.610966057441253,love
51,2001,1.7167381974248928,love
52,2002,3.2119914346895073,love
53,2003,2.9787234042553195,love
54,2004,2.9227557411273484,love
55,2005,2.5,love
56,2006,1.8975332068311195,love
57,2007,1.948051948051948,love
58,2008,2.0408163265306123,love
59,2009,2.0100502512562812,love
60,2010,1.9138755980861244,love
61,2011,1.3182674199623352,love
62,2012,1.0204081632653061,love
63,2013,1.7857142857142856,love
64,2014,2.60707635009311,love
65,2015,2.9173419773095626,love
66,2016,1.6885553470919326,love
67,2017,1.3636363636363635,love
68,2018,1.2251148545176112,love
69,2019,1.1235955056179776,love
70,1950,5.88235294117647,anger
71,1951,8.620689655172415,anger
72,1952,6.666666666666667,anger
73,1953,12.5,anger
74,1954,6.422018348623854,anger
75,1955,7.547169811320755,anger
76,1956,7.000000000000001,anger
77,1957,5.9071729957805905,anger
78,1958,11.498257839721255,anger
79,1959,8.974358974358974,anger
80,1960,9.124087591240876,anger
81,1961,10.33210332103321,anger
82,1962,6.796116504854369,anger
83,1963,6.233062330623306,anger
84,1964,11.488250652741515,anger
85,1965,9.831460674157304,anger
86,1966,8.16326530612245,anger
87,1967,13.19796954314721,anger
88,1968,10.051546391752577,anger
89,1969,13.664596273291925,anger
90,1970,9.659090909090908,anger
91,1971,12.947658402203857,anger
92,1972,16.045845272206304,anger
93,1973,12.755102040816327,anger
94,1974,13.812154696132598,anger
95,1975,10.565110565110565,anger
96,1976,13.48314606741573,anger
97,1977,10.514018691588785,anger
98,1978,11.76470588235294,anger
99,1979,14.906832298136646,anger
100,1980,17.4852652259332,anger
101,1981,15.769230769230768,anger
102,1982,16.008316008316008,anger
103,1983,16.53992395437262,anger
104,1984,17.263157894736842,anger
105,1985,17.444717444717444,anger
106,1986,12.71551724137931,anger
107,1987,11.264367816091953,anger
108,1988,14.218009478672986,anger
109,1989,13.53211009174312,anger
110,1990,14.320388349514563,anger
111,1991,14.115308151093439,anger
112,1992,14.37007874015748,anger
113,1993,14.63917525773196,anger
114,1994,13.548387096774196,anger
115,1995,15.064935064935064,anger
116,1996,11.893203883495145,anger
117,1997,12.903225806451612,anger
118,1998,15.53398058252427,anger
119,1999,14.83050847457627,anger
120,2000,13.838120104438643,anger
121,2001,14.806866952789699,anger
122,2002,14.5610278372591,anger
123,2003,13.617021276595745,anger
124,2004,14.822546972860126,anger
125,2005,16.590909090909093,anger
126,2006,15.370018975332068,anger
127,2007,13.41991341991342,anger
128,2008,15.10204081632653,anger
129,2009,16.917922948073702,anger
130,2010,16.028708133971293,anger
131,2011,16.57250470809793,anger
132,2012,13.77551020408163,anger
133,2013,12.5,anger
134,2014,16.201117318435752,anger
135,2015,16.53160453808752,anger
136,2016,16.135084427767353,anger
137,2017,14.242424242424242,anger
138,2018,17.611026033690656,anger
139,2019,18.53932584269663,anger
140,1950,3.9215686274509802,fear
141,1951,0.0,fear
142,1952,3.3333333333333335,fear
143,1953,0.0,fear
144,1954,1.834862385321101,fear
145,1955,3.7735849056603774,fear
146,1956,2.5,fear
147,1957,1.6877637130801686,fear
148,1958,1.7421602787456445,fear
149,1959,2.2435897435897436,fear
150,1960,1.824817518248175,fear
151,1961,1.107011070110701,fear
152,1962,2.26537216828479,fear
153,1963,2.9810298102981028,fear
154,1964,2.8720626631853787,fear
155,1965,2.247191011235955,fear
156,1966,1.1661807580174928,fear
157,1967,1.7766497461928936,fear
158,1968,4.123711340206185,fear
159,1969,3.4161490683229814,fear
160,1970,3.6931818181818183,fear
161,1971,4.132231404958678,fear
162,1972,2.865329512893983,fear
163,1973,3.316326530612245,fear
164,1974,4.143646408839778,fear
165,1975,3.6855036855036856,fear
166,1976,1.6853932584269662,fear
167,1977,2.803738317757009,fear
168,1978,3.7037037037037033,fear
169,1979,3.3126293995859215,fear
170,1980,3.3398821218074657,fear
171,1981,3.653846153846154,fear
172,1982,5.613305613305614,fear
173,1983,4.562737642585551,fear
174,1984,4.631578947368421,fear
175,1985,3.194103194103194,fear
176,1986,2.1551724137931036,fear
177,1987,3.218390804597701,fear
178,1988,1.8957345971563981,fear
179,1989,2.7522935779816518,fear
180,1990,4.12621359223301,fear
181,1991,3.5785288270377733,fear
182,1992,2.559055118110236,fear
183,1993,2.6804123711340204,fear
184,1994,3.010752688172043,fear
185,1995,2.857142857142857,fear
186,1996,4.854368932038835,fear
187,1997,3.970223325062035,fear
188,1998,4.12621359223301,fear
189,1999,3.389830508474576,fear
190,2000,4.699738903394255,fear
191,2001,4.07725321888412,fear
192,2002,4.925053533190578,fear
193,2003,4.25531914893617,fear
194,2004,2.7139874739039667,fear
195,2005,2.0454545454545454,fear
196,2006,1.5180265654648957,fear
197,2007,4.545454545454546,fear
198,2008,3.2653061224489797,fear
199,2009,3.350083752093802,fear
200,2010,3.588516746411483,fear
201,2011,4.708097928436912,fear
202,2012,4.931972789115646,fear
203,2013,3.392857142857143,fear
204,2014,3.7243947858473,fear
205,2015,3.2414910858995136,fear
206,2016,3.189493433395872,fear
207,2017,4.090909090909091,fear
208,2018,2.909647779479326,fear
209,2019,1.6853932584269662,fear
210,1950,25.49019607843137,sadness
211,1951,29.310344827586203,sadness
212,1952,30.0,sadness
213,1953,31.25,sadness
214,1954,21.100917431192663,sadness
215,1955,27.358490566037734,sadness
216,1956,25.5,sadness
217,1957,35.86497890295359,sadness
218,1958,25.087108013937282,sadness
219,1959,27.24358974358974,sadness
220,1960,27.73722627737226,sadness
221,1961,29.88929889298893,sadness
222,1962,34.3042071197411,sadness
223,1963,34.68834688346883,sadness
224,1964,28.198433420365536,sadness
225,1965,36.79775280898877,sadness
226,1966,34.11078717201166,sadness
227,1967,30.96446700507614,sadness
228,1968,33.24742268041237,sadness
229,1969,28.57142857142857,sadness
230,1970,25.568181818181817,sadness
231,1971,26.446280991735538,sadness
232,1972,25.787965616045845,sadness
233,1973,26.02040816326531,sadness
234,1974,22.375690607734807,sadness
235,1975,31.44963144963145,sadness
236,1976,26.12359550561798,sadness
237,1977,25.46728971962617,sadness
238,1978,31.808278867102395,sadness
239,1979,29.81366459627329,sadness
240,1980,26.719056974459725,sadness
241,1981,28.46153846153846,sadness
242,1982,30.561330561330564,sadness
243,1983,26.61596958174905,sadness
244,1984,28.210526315789476,sadness
245,1985,29.975429975429975,sadness
246,1986,27.586206896551722,sadness
247,1987,30.344827586206897,sadness
248,1988,31.990521327014214,sadness
249,1989,28.899082568807337,sadness
250,1990,30.582524271844658,sadness
251,1991,26.043737574552683,sadness
252,1992,28.74015748031496,sadness
253,1993,30.309278350515463,sadness
254,1994,29.677419354838708,sadness
255,1995,27.79220779220779,sadness
256,1996,27.9126213592233,sadness
257,1997,29.776674937965257,sadness
258,1998,27.669902912621357,sadness
259,1999,27.33050847457627,sadness
260,2000,24.54308093994778,sadness
261,2001,29.613733905579398,sadness
262,2002,32.76231263383298,sadness
263,2003,30.851063829787233,sadness
264,2004,26.513569937369518,sadness
265,2005,30.227272727272727,sadness
266,2006,29.411764705882355,sadness
267,2007,28.78787878787879,sadness
268,2008,33.265306122448976,sadness
269,2009,27.80569514237856,sadness
270,2010,26.794258373205743,sadness
271,2011,28.06026365348399,sadness
272,2012,29.591836734693878,sadness
273,2013,26.25,sadness
274,2014,26.443202979515828,sadness
275,2015,29.983792544570502,sadness
276,2016,29.080675422138835,sadness
277,2017,27.575757575757574,sadness
278,2018,27.565084226646245,sadness
279,2019,25.0936329588015,sadness
280,1950,1.9607843137254901,surprise
281,1951,0.0,surprise
282,1952,1.6666666666666667,surprise
283,1953,2.083333333333333,surprise
284,1954,0.9174311926605505,surprise
285,1955,0.9433962264150944,surprise
286,1956,1.0,surprise
287,1957,1.6877637130801686,surprise
288,1958,1.0452961672473868,surprise
289,1959,0.641025641025641,surprise
290,1960,0.0,surprise
